epoch,step,train_loss_epoch,train_loss_step
0,2,0.1188662126660347,
1,5,0.10592061281204224,
2,8,0.0955512747168541,
3,11,0.0898914560675621,
4,14,0.08191366493701935,
5,17,0.07620608061552048,
6,20,0.07125571370124817,
7,23,0.06804660707712173,
8,26,0.06500985473394394,
9,29,0.06068630889058113,
10,32,0.060094188898801804,
11,35,0.05764826759696007,
12,38,0.05683009698987007,
13,41,0.054818540811538696,
14,44,0.05366617068648338,
15,47,0.05350368097424507,
16,49,,0.05486392229795456
16,50,0.053376588970422745,
17,53,0.05275269225239754,
18,56,0.05234375596046448,
19,59,0.051376182585954666,
20,62,0.05166429281234741,
21,65,0.05045737326145172,
22,68,0.05072625353932381,
23,71,0.05030986666679382,
24,74,0.05068802833557129,
25,77,0.050579339265823364,
26,80,0.049862395972013474,
27,83,0.04958947375416756,
28,86,0.05029120668768883,
29,89,0.049482863396406174,
30,92,0.04936039075255394,
31,95,0.050053805112838745,
32,98,0.04950900748372078,
33,99,,0.05265391245484352
33,101,0.049635231494903564,
34,104,0.049347128719091415,
35,107,0.04950270056724548,
36,110,0.05012385547161102,
37,113,0.04995924234390259,
38,116,0.04959094524383545,
39,119,0.04972631856799126,
40,122,0.04910476878285408,
41,125,0.049621667712926865,
42,128,0.049430832266807556,
43,131,0.049369797110557556,
44,134,0.049705877900123596,
45,137,0.049700021743774414,
46,140,0.04909355938434601,
47,143,0.04887048527598381,
48,146,0.04914853349328041,
49,149,,0.049649178981781006
49,149,0.04912734404206276,
50,152,0.04924710467457771,
51,155,0.0495002381503582,
52,158,0.04940396547317505,
53,161,0.04878563806414604,
54,164,0.049211401492357254,
55,167,0.049075618386268616,
56,170,0.04876613989472389,
57,173,0.04967281594872475,
58,176,0.04941247031092644,
59,179,0.049712520092725754,
60,182,0.04905487969517708,
61,185,0.04862050339579582,
62,188,0.04883522912859917,
63,191,0.048974618315696716,
64,194,0.04943104460835457,
65,197,0.048635732382535934,
66,199,,0.047232355922460556
66,200,0.04940486326813698,
67,203,0.04939259961247444,
68,206,0.048281606286764145,
69,209,0.049180611968040466,
70,212,0.04885503649711609,
71,215,0.049182336777448654,
72,218,0.048494067043066025,
73,221,0.04920385405421257,
74,224,0.04899190366268158,
75,227,0.04890422895550728,
76,230,0.048939961940050125,
77,233,0.04950174689292908,
78,236,0.0493590347468853,
79,239,0.048207949846982956,
80,242,0.048497751355171204,
81,245,0.04888901114463806,
82,248,0.04855687916278839,
83,249,,0.05057237297296524
83,251,0.04935193061828613,
84,254,0.04965485632419586,
85,257,0.04927648976445198,
86,260,0.04853852465748787,
87,263,0.04865040257573128,
88,266,0.04869792237877846,
89,269,0.04914537072181702,
90,272,0.04850013181567192,
91,275,0.04847286641597748,
92,278,0.04835708439350128,
93,281,0.04842565953731537,
94,284,0.04945933446288109,
95,287,0.049294933676719666,
96,290,0.04885556176304817,
97,293,0.04901394620537758,
98,296,0.04825981333851814,
99,299,,0.04944809898734093
99,299,0.04917207360267639,
