epoch,step,train_loss_epoch,train_loss_step
0,2,0.08874138444662094,
1,5,0.08273351192474365,
2,8,0.07632716000080109,
3,11,0.07050810754299164,
4,14,0.06905236840248108,
5,17,0.06479869782924652,
6,20,0.06222911551594734,
7,23,0.059503231197595596,
8,26,0.057863544672727585,
9,29,0.055332694202661514,
10,32,0.05372580885887146,
11,35,0.05322718620300293,
12,38,0.052936118096113205,
13,41,0.05189086124300957,
14,44,0.05081119015812874,
15,47,0.05123624578118324,
16,49,,0.053085535764694214
16,50,0.05091775953769684,
17,53,0.0507533997297287,
18,56,0.05041494965553284,
19,59,0.04942919313907623,
20,62,0.05016260966658592,
21,65,0.05003005266189575,
22,68,0.05033233389258385,
23,71,0.04999132826924324,
24,74,0.049159061163663864,
25,77,0.04950318858027458,
26,80,0.04918666556477547,
27,83,0.049133170396089554,
28,86,0.048947010189294815,
29,89,0.048801716417074203,
30,92,0.049100786447525024,
31,95,0.04814169928431511,
32,98,0.04885091260075569,
33,99,,0.050881464034318924
33,101,0.048820823431015015,
34,104,0.04901237413287163,
35,107,0.04929656907916069,
36,110,0.04839252308011055,
37,113,0.04858420789241791,
38,116,0.04930296540260315,
39,119,0.049080073833465576,
40,122,0.04921947419643402,
41,125,0.04834621027112007,
42,128,0.04884703457355499,
43,131,0.04864027723670006,
44,134,0.047582656145095825,
45,137,0.04828755185008049,
46,140,0.0479990653693676,
47,143,0.04839608073234558,
48,146,0.04919563606381416,
49,149,,0.047682952135801315
49,149,0.04781473055481911,
