epoch,step,train_loss_epoch,train_loss_step
0,2,9.11974811553955,
1,5,8.206778526306152,
2,8,7.56540060043335,
3,11,6.987477779388428,
4,14,6.527896404266357,
5,17,6.17078161239624,
6,20,5.932624816894531,
7,23,5.561385631561279,
8,26,5.526014804840088,
9,29,5.350690841674805,
10,32,5.157478332519531,
11,35,5.2513298988342285,
12,38,5.057816982269287,
13,41,5.035572528839111,
14,44,4.982545852661133,
15,47,4.955599308013916,
16,49,,4.82772159576416
16,50,4.890891075134277,
17,53,4.845249652862549,
18,56,4.85236930847168,
19,59,4.789146423339844,
20,62,4.825903415679932,
21,65,4.828665256500244,
22,68,4.816457748413086,
23,71,4.809335708618164,
24,74,4.846645355224609,
25,77,4.803232669830322,
26,80,4.808022499084473,
27,83,4.803102970123291,
28,86,4.783533573150635,
29,89,4.799792766571045,
30,92,4.858997344970703,
31,95,4.808119297027588,
32,98,4.77872896194458,
33,99,,4.676980495452881
33,101,4.794407367706299,
34,104,4.708285808563232,
35,107,4.780548095703125,
36,110,4.793760776519775,
37,113,4.748264312744141,
38,116,4.8284783363342285,
39,119,4.770473480224609,
40,122,4.823096752166748,
41,125,4.8192219734191895,
42,128,4.8052849769592285,
43,131,4.776259899139404,
44,134,4.751226425170898,
45,137,4.75771427154541,
46,140,4.7618794441223145,
47,143,4.766459941864014,
48,146,4.729885578155518,
49,149,,4.634299278259277
49,149,4.72244119644165,
50,152,4.7611589431762695,
51,155,4.74202299118042,
52,158,4.7559027671813965,
53,161,4.743295192718506,
54,164,4.786508083343506,
55,167,4.747228145599365,
56,170,4.715795993804932,
57,173,4.744410037994385,
58,176,4.784212112426758,
59,179,4.72528600692749,
60,182,4.723994731903076,
61,185,4.746641159057617,
62,188,4.76548433303833,
63,191,4.735345840454102,
64,194,4.773766994476318,
65,197,4.765083312988281,
66,199,,4.501852989196777
66,200,4.717967510223389,
67,203,4.796807765960693,
68,206,4.733431339263916,
69,209,4.690957546234131,
70,212,4.818023204803467,
71,215,4.7369608879089355,
72,218,4.731980800628662,
73,221,4.685085773468018,
74,224,4.720308780670166,
75,227,4.721084117889404,
76,230,4.720832347869873,
77,233,4.658679485321045,
78,236,4.674398422241211,
79,239,4.772167205810547,
80,242,4.720674991607666,
81,245,4.715219020843506,
82,248,4.694293975830078,
83,249,,4.546630382537842
83,251,4.7223615646362305,
84,254,4.695242404937744,
85,257,4.695992469787598,
86,260,4.690679550170898,
87,263,4.738912105560303,
88,266,4.700290679931641,
89,269,4.703711032867432,
90,272,4.611523628234863,
91,275,4.684184551239014,
92,278,4.75001335144043,
93,281,4.733640193939209,
94,284,4.745242595672607,
95,287,4.6865386962890625,
96,290,4.742938995361328,
97,293,4.735584735870361,
98,296,4.714332580566406,
99,299,,4.863341331481934
99,299,4.7131667137146,
